CategoryID,CategoryTitle,SubCategoryID,SubCategoryTitle,ItemID,ItemTitle,IconName,Summary,MarkdownFile
basic,기본 가이드,basic-assembly,조립 및 피팅,pedal,페달 장착 방법,Wrench,좌/우 페달 식별 및 결합 방향 확인 | 페달 렌치로 유격 없이 단단히 조임,pedal.md
basic,기본 가이드,basic-assembly,조립 및 피팅,handlebar,핸들/스템 정렬,Wrench,앞바퀴와 핸들바가 수직(90도)이 되도록 육안으로 맞춥니다.,handlebar.md
basic,기본 가이드,basic-assembly,조립 및 피팅,seat-height,안장 높이 조절,Settings,QR레버를 이용해 안장 높낮이 조절 | 배터리 파손 주의 (최저 높이 한계선 확인),seat-height.md
basic,기본 가이드,basic-assembly,조립 및 피팅,handle-height,핸들바 높이 조절,Navigation,포스트 중간 레버를 열어 핸들바 높이 조절 | 안전 한계선(Minimum Insertion) 이상 뽑지 않기,handle-height.md
basic,기본 가이드,basic-assembly,조립 및 피팅,suntour,썬투어 서스펜션 안장,Settings,썬투어 싯포스트 구조 이해 및 안장 교체 방법 | 체중에 따른 장력(Preload) 조절,suntour-seatpost.md
basic,기본 가이드,basic-operation,주행 및 조작,folding,자전거 접기/펴기,ArrowLeftRight,안장/핸들 내리기 -> 핸들 꺾기 -> 메인 프레임 반으로 접기,folding.md
basic,기본 가이드,basic-operation,주행 및 조작,gear,기어 변속 방법,Settings,체인이 굴러가고(주행 중) 있을 때만 1단씩 변속하세요.,gear-guide.md
basic,기본 가이드,basic-operation,주행 및 조작,brake-guide,안전한 브레이킹 (모터컷),ShieldAlert,레버를 당길 때 즉시 모터 동력을 차단하는 모터컷 원리 설명,brake-guide.md
basic,기본 가이드,basic-operation,주행 및 조작,tire-pressure-basic,타이어 공기압 체크,Wind,주행 전 타이어 측면에 표기된 적정 공기압(PSI)을 확인하세요.,tire-pressure-basic.md
basic,기본 가이드,basic-parts,부품 교체,suntour-seatpost,썬투어 서스펜션 교체,Wrench,안장과 싯포스트를 분리하고 썬투어 싯포스트를 결합합니다.,suntour-seatpost.md
lcd-manual,LCD 가이드,lcd-basic,기본 조작,lcd-power,전원 켜기/끄기,Power,가운데 전원 버튼(M)을 3초간 길게 누르면 전원이 켜지고 꺼집니다.,lcd-power.md
lcd-manual,LCD 가이드,lcd-basic,기본 조작,lcd-display-mode,화면 모드 변경,MonitorPlay,가운데 전원 버튼(M)을 짧게 누를 때마다 화면 정보가 전환됩니다.,lcd-display-mode.md
lcd-manual,LCD 가이드,lcd-basic,기본 조작,lcd-light,전조등/백라이트 켜기,Lightbulb,▲ 버튼을 길게 누르면 라이트가 점등됩니다.,lcd-light.md
lcd-manual,LCD 가이드,lcd-riding,주행 모드,lcd-pas-mode,PAS 단계 설정,Activity,상/하단 버튼을 짧게 눌러 모터 어시스트 0~5단계를 세팅합니다.,lcd-pas-mode.md
lcd-manual,LCD 가이드,lcd-riding,주행 모드,lcd-walk-mode,도보 모드 (끌바),PersonStanding,정지 상태에서 ▼ 버튼을 길게 누르면 사람 걷는 속도로 밀어줍니다.,lcd-walk-mode.md
lcd-manual,LCD 가이드,lcd-riding,주행 모드,lcd-cruise-mode,크루즈 모드,Gauge,기능 작동 시 스로틀이나 페달 조작 없이도 정속 주행합니다.,lcd-cruise-mode.md
battery-guide,배터리 가이드,battery-removal,배터리 탈착,battery-seatpost,싯포스트 배터리 탈착,Key,싯포스트 일체형 배터리의 장착 및 분리 방법,battery-seatpost.md
battery-guide,배터리 가이드,battery-removal,배터리 탈착,battery-ktx-4pin,KTX 배터리 탈착 (4핀),BatteryCharging,KTX 외장 배터리 4핀 커넥터 모델의 탈착 방법,battery-ktx-4pin.md
battery-guide,배터리 가이드,battery-removal,배터리 탈착,battery-ktx-6pin,KTX 배터리 탈착 (6핀),BatteryCharging,KTX 외장 배터리 6핀 커넥터 모델의 탈착 방법,battery-ktx-6pin.md
battery-guide,배터리 가이드,battery-care,충전 및 보관,charging,배터리 충전 방법 (공통),Zap,충전기 포트를 배터리에 먼저 꽂고, 그 후 콘센트를 연결합니다.,battery-guide.md
battery-guide,배터리 가이드,battery-care,충전 및 보관,battery-care,겨울철/장기 보관법,BatteryCharging,배터리는 실내 보관을 원칙으로 하며 심방전을 주의하세요.,winter-battery.md
troubleshooting,상황별 해결방법,power-issues,전원 및 배터리,error-power,전원이 켜지지 않아요 (Error 01),ZapOff,배터리 본체 하단의 열쇠 잠금이 100% 들어갔는지 점검합니다.,error-power.md
troubleshooting,상황별 해결방법,noise-issues,주행 및 소음,noise-fender,모터/흙받이 진동 소음,Wrench,진동음의 90%는 흙받이 청상 접합부의 금속 마찰음입니다.,noise-fender.md
troubleshooting,상황별 해결방법,noise-issues,주행 및 소음,noise-inspection,브레이크 소음 점검,VolumeX,브레이크 쇳소리 유형(서걱/끼익/딱딱)별 원인과 해결책,noise-inspection.md
troubleshooting,상황별 해결방법,noise-issues,주행 및 소음,error-brake,주행 중 브레이크 소음 (심화),AlertTriangle,길들이기·로터 오염·캘리퍼 틀어짐 등 원인별 자가 조치법,error-brake.md
troubleshooting,상황별 해결방법,maintenance-issues,기타 점검,error-tire,타이어 공기압 (주행감 저하),Wind,타이어 측면 적정 PSI에 맞춰 공기를 보충합니다.,error-tire.md
